,gold,dollar_index,vix,fed_rate,fed_balance,labor_claims,ip,gdp,ppi,target_gold
2006-01-31,570.7999877929688,99.4311,0.007559862133628498,0.0429,828901.0,295750.0,98.0452,4330.641420916809,163.0,561.5999755859375
2006-02-28,561.5999755859375,99.7695,0.007841502933364766,0.0449,840555.0,290750.0,98.1999,4387.341134020446,164.3,581.7999877929688
2006-03-31,581.7999877929688,100.56,0.007366472801489982,0.045899999999999996,833675.0,301750.0,98.2413,4449.366136860088,161.8,651.7999877929688
2006-04-30,651.7999877929688,98.1412,0.007479916920852606,0.0479,844572.0,303600.0,98.4628,4487.496729119402,162.2,642.5
2006-05-31,642.5,97.7705,0.009100179405945348,0.049400000000000006,851580.0,332750.0,98.7618,4515.040604790285,164.3,613.5
2006-06-30,613.5,98.2483,0.010657739128694277,0.0499,844436.0,305500.0,98.7869,4531.215920583334,165.8,634.2000122070312
2006-07-31,634.2000122070312,97.9996,0.009586198939647518,0.0524,841552.0,318800.0,99.0997,4552.9034746264215,166.1,625.9000244140625
2006-08-31,625.9000244140625,97.644,0.008410805073652433,0.0525,850925.0,314250.0,99.0489,4574.201556450458,166.8,598.5999755859375
2006-09-30,598.5999755859375,98.1054,0.0076687791686356295,0.0525,849971.0,316200.0,99.4836,4579.153559771633,167.9,604.0999755859375
2006-10-31,604.0999755859375,97.3901,0.007122339622448118,0.0525,852648.0,315500.0,99.3183,4600.068883777901,165.4,646.9000244140625
2006-11-30,646.9000244140625,96.5779,0.006795056749228765,0.0525,856671.0,326250.0,99.2044,4599.478306115626,162.2,635.2000122070312
2006-12-31,635.2000122070312,97.0312,0.006918849658696687,0.0524,869988.0,324000.0,99.1627,4632.881019005949,164.6,652.0
2007-01-31,652.0,97.964,0.006960024049355421,0.0525,865730.0,317250.0,100.1735,4637.828674878321,165.6,669.4000244140625
2007-02-28,669.4000244140625,97.2386,0.006991397839488179,0.0526,877409.0,322750.0,99.8346,4651.798004399531,164.0,663.0
2007-03-31,663.0,96.3183,0.009551620371698334,0.0526,869803.0,309400.0,100.7753,4662.232258756921,166.8,680.5
2007-04-30,680.5,94.8365,0.008155933378291966,0.0525,879686.0,320250.0,100.9547,4725.529736843583,169.3,661.0
2007-05-31,661.0,94.3215,0.008377938597738587,0.0525,876986.0,304250.0,101.6334,4703.49155044668,171.4,648.0999755859375
2007-06-30,648.0999755859375,94.1393,0.009416114926793366,0.0525,865105.0,315200.0,101.7306,4753.629614624029,173.3,666.9000244140625
2007-07-31,666.9000244140625,93.4264,0.01081379264217157,0.0526,863890.0,313250.0,101.7893,4758.5298349292725,173.8,673.0
2007-08-31,673.0,93.6674,0.01576495294667472,0.050199999999999995,872873.0,320000.0,101.6672,4790.714423664769,175.1,742.7999877929688
2007-09-30,742.7999877929688,90.9446,0.01402122206706563,0.049400000000000006,889900.0,313400.0,101.863,4798.435454253955,172.4,792.0
2007-10-31,792.0,89.1389,0.012041729000234553,0.047599999999999996,883385.0,328250.0,102.0894,4812.932122081328,173.5,782.2000122070312
2007-11-30,782.2000122070312,89.6212,0.016151395476538998,0.0449,879417.0,336000.0,101.8015,4826.018981465127,174.7,834.9000244140625
2007-12-31,834.9000244140625,89.6304,0.013547326611145015,0.0424,890662.0,348200.0,102.3446,4854.937381830473,179.0,922.7000122070312
2008-01-31,922.7000122070312,88.6547,0.016209198146110205,0.0394,900264.0,338750.0,102.3803,4883.160636704394,178.6,972.0999755859375
2008-02-29,972.0999755859375,87.1654,0.016022693937551475,0.0298,893825.0,346750.0,102.2448,4879.34199328524,181.0,916.2000122070312
2008-03-31,916.2000122070312,86.6881,0.017059096520287094,0.026099999999999998,893965.0,363400.0,101.8438,4916.894833450873,182.7,862.7999877929688
2008-04-30,862.7999877929688,86.8907,0.013583241417130089,0.022799999999999997,888131.0,359500.0,101.5336,4918.821173263869,187.9,887.2999877929688
2008-05-31,887.2999877929688,86.5504,0.011565712874082352,0.0198,904054.0,366800.0,100.8785,4904.462703686833,190.9,926.2000122070312
2008-06-30,926.2000122070312,86.7621,0.013928290802193998,0.02,892713.0,383250.0,100.2674,4894.0357232961105,196.6,913.9000244140625
2008-07-31,913.9000244140625,86.8567,0.01533412822490406,0.0201,918625.0,398000.0,100.0335,4908.039573017033,200.5,829.2999877929688
2008-08-31,829.2999877929688,90.0567,0.013037074572582559,0.02,909982.0,433000.0,99.676,4921.411496281234,205.5,874.2000122070312
2008-09-30,874.2000122070312,92.3773,0.018773953513123474,0.0181,1211825.0,464000.0,98.1111,4945.3273349558,199.0,716.7999877929688
