datetime,open,high,low,close
2026-02-05,4941.44978,5024.78529,4799.80156,4918.96769
2026-02-04,4926.18518,5090.97076,4863.23494,4941.50845
2026-02-03,4685.64115,4993.13125,4647.23171,4926.47711
2026-02-02,4865.35405,4879.10052,4410.8453,4687.13788
2026-02-01,4865.35613,4865.59398,4865.28403,4865.45954
2026-01-31,4943.36462,4943.36462,4829.73898,4865.45982
2026-01-30,5308.49315,5451.71009,4706.06585,4940.66781
2026-01-29,5326.98804,5597.22988,5122.5375,5310.53137
2026-01-28,5099.1982,5329.23026,5098.86184,5327.17903
2026-01-27,5029.23113,5102.59816,4999.05307,5099.19537
2026-01-26,4982.40644,5108.49956,4979.13611,5029.16284
2026-01-25,4982.42698,4984.37168,4981.87684,4982.45467
2026-01-24,4984.87402,4986.59233,4972.26855,4982.4814
2026-01-23,4911.87195,4990.21326,4902.18615,4984.67331
2026-01-22,4780.26923,4923.18891,4775.0818,4911.86931
2026-01-21,4760.69265,4885.77139,4747.79286,4780.28158
2026-01-20,4670.79201,4767.45217,4660.31632,4760.79846
2026-01-19,4595.25035,4686.1434,4588.36075,4670.82045
2026-01-18,4595.27991,4595.67224,4595.07714,4595.28796
2026-01-17,4590.53336,4597.8108,4579.84926,4595.30975
2026-01-16,4615.42757,4620.35762,4533.25987,4590.58565
2026-01-15,4639.51866,4641.81025,4581.64955,4615.51073
2026-01-14,4597.55208,4641.32613,4571.4012,4639.42556
2026-01-13,4611.36907,4632.91936,4574.39161,4597.7796
2026-01-12,4509.80434,4631.59455,4509.22139,4611.33102
2026-01-11,4509.81471,4510.04601,4509.71232,4509.83173
2026-01-10,4499.90988,4511.053,4497.61855,4509.84807
2026-01-09,4451.60002,4515.83105,4451.56766,4499.75264
2026-01-08,4457.36735,4466.13399,4407.90536,4451.55911
2026-01-07,4481.4641,4500.4487,4425.27169,4457.24727
2026-01-06,4440.19627,4493.57837,4429.30632,4481.54678
2026-01-05,4330.49629,4454.41557,4329.27104,4440.26689
2026-01-04,4330.49282,4331.70186,4330.26423,4330.51407
2026-01-03,4319.10312,4334.91082,4315.21198,4330.47347
2026-01-02,4315.0866,4402.87822,4310.36817,4319.3054
2026-01-01,4311.23326,4326.44321,4304.69385,4315.16528
2025-12-31,4346.83879,4372.76325,4279.06735,4311.26879
2025-12-30,4337.39758,4405.82213,4325.67935,4346.71282
2025-12-29,4532.61769,4547.90835,4307.57154,4337.36579
2025-12-28,4532.61899,4532.8813,4531.44651,4532.58587
