Date,Stock,Sector,Model,Pred_dLogclose,Expected_Return_%,Action,Signal
2024-01-01,BBL,Banking,AIC,-0.29793836283881725,-0.25765290549481923,SELL,0
2024-02-01,BBL,Banking,AIC,-0.2791772924416302,-0.24359421370227508,SELL,0
2024-03-01,BBL,Banking,AIC,-0.2817108921365088,-0.24550821748808682,SELL,0
2024-04-01,BBL,Banking,AIC,-0.27660749726603967,-0.24164790602691433,SELL,0
2024-05-01,BBL,Banking,AIC,-0.27334275345157183,-0.2391680348495362,SELL,0
2024-06-01,BBL,Banking,AIC,-0.283055597185883,-0.24652210455543389,SELL,0
2024-07-01,BBL,Banking,AIC,-0.27170487673567884,-0.23792086481253594,SELL,0
2024-08-01,BBL,Banking,AIC,-0.2804485474906719,-0.24455518742646276,SELL,0
2024-09-01,BBL,Banking,AIC,-0.2856253914387199,-0.24845590192589495,SELL,0
2024-10-01,BBL,Banking,AIC,-0.2973543324626319,-0.2572192256131701,SELL,0
2024-11-01,BBL,Banking,AIC,-0.295691391852437,-0.25598299769705335,SELL,0
2024-12-01,BBL,Banking,AIC,-0.29872492027317676,-0.25823657454617,SELL,0
2025-01-01,BBL,Banking,AIC,-0.29872492027317676,-0.25823657454617,SELL,0
2025-02-01,BBL,Banking,AIC,-0.29872492027317676,-0.25823657454617,SELL,0
2025-03-01,BBL,Banking,AIC,-0.29872492027317676,-0.25823657454617,SELL,0
2025-04-01,BBL,Banking,AIC,-0.29872492027317676,-0.25823657454617,SELL,0
2025-05-01,BBL,Banking,AIC,-0.29872492027317676,-0.25823657454617,SELL,0
2025-06-01,BBL,Banking,AIC,-0.29872492027317676,-0.25823657454617,SELL,0
2025-07-01,BBL,Banking,AIC,-0.29872492027317676,-0.25823657454617,SELL,0
2025-08-01,BBL,Banking,AIC,-0.29872492027317676,-0.25823657454617,SELL,0
2025-09-01,BBL,Banking,AIC,-0.29872492027317676,-0.25823657454617,SELL,0
2025-10-01,BBL,Banking,AIC,-0.29872492027317676,-0.25823657454617,SELL,0
2025-11-01,BBL,Banking,AIC,-0.29872492027317676,-0.25823657454617,SELL,0
2025-12-01,BBL,Banking,AIC,-0.29872492027317676,-0.25823657454617,SELL,0
2026-01-01,BBL,Banking,AIC,-0.30052075078311347,-0.2595674605562277,SELL,0
2026-02-01,BBL,Banking,AIC,-0.31947537522339464,-0.2734699072030551,SELL,0
