Date,Stock,Sector,Model,Pred_dLogclose,Expected_Return_%,Action,Signal
2024-01-01,KKP,Banking,ACF,-2.0291295208221847,-0.8685501042419037,SELL,0
2024-02-01,KKP,Banking,ACF,-2.016744138163168,-0.8669119231738028,SELL,0
2024-03-01,KKP,Banking,ACF,-2.0391714243959282,-0.8698635058567858,SELL,0
2024-04-01,KKP,Banking,ACF,-2.048972526168712,-0.8711327566914286,SELL,0
2024-05-01,KKP,Banking,ACF,-2.043120150184105,-0.8703763659488618,SELL,0
2024-06-01,KKP,Banking,ACF,-2.0508393651260026,-0.8713731066644058,SELL,0
2024-07-01,KKP,Banking,ACF,-2.011089197312728,-0.8661571859856437,SELL,0
2024-08-01,KKP,Banking,ACF,-1.933931746206071,-0.8554213669679558,SELL,0
2024-09-01,KKP,Banking,ACF,-2.0066709013155974,-0.865564520494591,SELL,0
2024-10-01,KKP,Banking,ACF,-2.0488408850756796,-0.8711157913500198,SELL,0
2024-11-01,KKP,Banking,ACF,-2.087226710177339,-0.8759693678202621,SELL,0
2024-12-01,KKP,Banking,ACF,-2.052007136367594,-0.8715232257818846,SELL,0
2025-01-01,KKP,Banking,ACF,-2.052007136367594,-0.8715232257818846,SELL,0
2025-02-01,KKP,Banking,ACF,-2.052007136367594,-0.8715232257818846,SELL,0
2025-03-01,KKP,Banking,ACF,-2.052007136367594,-0.8715232257818846,SELL,0
2025-04-01,KKP,Banking,ACF,-2.052007136367594,-0.8715232257818846,SELL,0
2025-05-01,KKP,Banking,ACF,-2.052007136367594,-0.8715232257818846,SELL,0
2025-06-01,KKP,Banking,ACF,-2.052007136367594,-0.8715232257818846,SELL,0
2025-07-01,KKP,Banking,ACF,-2.052007136367594,-0.8715232257818846,SELL,0
2025-08-01,KKP,Banking,ACF,-2.052007136367594,-0.8715232257818846,SELL,0
2025-09-01,KKP,Banking,ACF,-2.052007136367594,-0.8715232257818846,SELL,0
2025-10-01,KKP,Banking,ACF,-2.052007136367594,-0.8715232257818846,SELL,0
2025-11-01,KKP,Banking,ACF,-2.052007136367594,-0.8715232257818846,SELL,0
2025-12-01,KKP,Banking,ACF,-2.052007136367594,-0.8715232257818846,SELL,0
2026-01-01,KKP,Banking,ACF,-2.0719469645327466,-0.8740596585272324,SELL,0
2026-02-01,KKP,Banking,ACF,-2.234454625307906,-0.8929495034325927,SELL,0
