Date,Stock,Sector,Model,Pred_dLogclose,Expected_Return_%,Action,Signal
2024-01-01,KTB,Banking,ACF,-0.8640497639683611,-0.5785481588620319,SELL,0
2024-02-01,KTB,Banking,ACF,-0.858671503580949,-0.5762753747858382,SELL,0
2024-03-01,KTB,Banking,ACF,-0.8482766684872503,-0.5718478553815659,SELL,0
2024-04-01,KTB,Banking,ACF,-0.8515197184805834,-0.5732341251053144,SELL,0
2024-05-01,KTB,Banking,ACF,-0.8550870287956034,-0.574753819191133,SELL,0
2024-06-01,KTB,Banking,ACF,-0.8569140277941599,-0.5755300342496312,SELL,0
2024-07-01,KTB,Banking,ACF,-0.8619456092678971,-0.5776604253526982,SELL,0
2024-08-01,KTB,Banking,ACF,-0.8647957664306952,-0.5788624457293121,SELL,0
2024-09-01,KTB,Banking,ACF,-0.8695139556915337,-0.5808447722419454,SELL,0
2024-10-01,KTB,Banking,ACF,-0.8753592097292325,-0.5832876943237347,SELL,0
2024-11-01,KTB,Banking,ACF,-0.8840099786588161,-0.586877028555531,SELL,0
2024-12-01,KTB,Banking,ACF,-0.8825982442992218,-0.5862933967924298,SELL,0
2025-01-01,KTB,Banking,ACF,-0.8825982442992218,-0.5862933967924298,SELL,0
2025-02-01,KTB,Banking,ACF,-0.8825982442992218,-0.5862933967924298,SELL,0
2025-03-01,KTB,Banking,ACF,-0.8825982442992218,-0.5862933967924298,SELL,0
2025-04-01,KTB,Banking,ACF,-0.8825982442992218,-0.5862933967924298,SELL,0
2025-05-01,KTB,Banking,ACF,-0.8825982442992218,-0.5862933967924298,SELL,0
2025-06-01,KTB,Banking,ACF,-0.8825982442992218,-0.5862933967924298,SELL,0
2025-07-01,KTB,Banking,ACF,-0.8825982442992218,-0.5862933967924298,SELL,0
2025-08-01,KTB,Banking,ACF,-0.8825982442992218,-0.5862933967924298,SELL,0
2025-09-01,KTB,Banking,ACF,-0.8825982442992218,-0.5862933967924298,SELL,0
2025-10-01,KTB,Banking,ACF,-0.8825982442992218,-0.5862933967924298,SELL,0
2025-11-01,KTB,Banking,ACF,-0.8825982442992218,-0.5862933967924298,SELL,0
2025-12-01,KTB,Banking,ACF,-0.8825982442992218,-0.5862933967924298,SELL,0
2026-01-01,KTB,Banking,ACF,-0.882820983947046,-0.58638553539369,SELL,0
2026-02-01,KTB,Banking,ACF,-0.9027273605364837,-0.5945376915451916,SELL,0
