Date,Stock,Sector,Model,Pred_dLogclose,Expected_Return_%,Action,Signal
2024-01-01,SAWAD,Finance_Securities,AIC,0.632977283575969,0.8832090884432338,BUY,1
2024-02-01,SAWAD,Finance_Securities,AIC,0.6395010274680859,0.89553482348644,BUY,1
2024-03-01,SAWAD,Finance_Securities,AIC,0.6496030439202726,0.9147805943357243,BUY,1
2024-04-01,SAWAD,Finance_Securities,AIC,0.6219390775111332,0.8625361444718855,BUY,1
2024-05-01,SAWAD,Finance_Securities,AIC,0.6297755727110081,0.8771892394940961,BUY,1
2024-06-01,SAWAD,Finance_Securities,AIC,0.6017428237393458,0.8252972011834001,BUY,1
2024-07-01,SAWAD,Finance_Securities,AIC,0.6498650887241959,0.9152824183884445,BUY,1
2024-08-01,SAWAD,Finance_Securities,AIC,0.665447976339753,0.9453618022253045,BUY,1
2024-09-01,SAWAD,Finance_Securities,AIC,0.6246516879541771,0.8675953381765287,BUY,1
2024-10-01,SAWAD,Finance_Securities,AIC,0.5908836639865845,0.8055832395333082,BUY,1
2024-11-01,SAWAD,Finance_Securities,AIC,0.5939178131415694,0.8110699679607416,BUY,1
2024-12-01,SAWAD,Finance_Securities,AIC,0.6064201643062148,0.8338547354787842,BUY,1
2025-01-01,SAWAD,Finance_Securities,AIC,0.6064201643062148,0.8338547354787842,BUY,1
2025-02-01,SAWAD,Finance_Securities,AIC,0.6064201643062148,0.8338547354787842,BUY,1
2025-03-01,SAWAD,Finance_Securities,AIC,0.6064201643062148,0.8338547354787842,BUY,1
2025-04-01,SAWAD,Finance_Securities,AIC,0.6064201643062148,0.8338547354787842,BUY,1
2025-05-01,SAWAD,Finance_Securities,AIC,0.6064201643062148,0.8338547354787842,BUY,1
2025-06-01,SAWAD,Finance_Securities,AIC,0.6064201643062148,0.8338547354787842,BUY,1
2025-07-01,SAWAD,Finance_Securities,AIC,0.6064201643062148,0.8338547354787842,BUY,1
2025-08-01,SAWAD,Finance_Securities,AIC,0.6064201643062148,0.8338547354787842,BUY,1
2025-09-01,SAWAD,Finance_Securities,AIC,0.6064201643062148,0.8338547354787842,BUY,1
2025-10-01,SAWAD,Finance_Securities,AIC,0.6064201643062148,0.8338547354787842,BUY,1
2025-11-01,SAWAD,Finance_Securities,AIC,0.6064201643062148,0.8338547354787842,BUY,1
2025-12-01,SAWAD,Finance_Securities,AIC,0.6064201643062148,0.8338547354787842,BUY,1
2026-01-01,SAWAD,Finance_Securities,AIC,0.6000941037190669,0.822290276614356,BUY,1
2026-02-01,SAWAD,Finance_Securities,AIC,0.7055766148475116,1.0250140014836484,BUY,1
