Date,Stock,Sector,Model,Pred_dLogclose,Expected_Return_%,Action,Signal
2024-01-01,TISCO,Banking,ACF,-1.9308148390210473,-0.854970025758931,SELL,0
2024-02-01,TISCO,Banking,ACF,-1.92882029835559,-0.8546804689071318,SELL,0
2024-03-01,TISCO,Banking,ACF,-1.9327944393001912,-0.8552568431508629,SELL,0
2024-04-01,TISCO,Banking,ACF,-1.9301516553733522,-0.8548738123515358,SELL,0
2024-05-01,TISCO,Banking,ACF,-1.9227446621624749,-0.853794872748613,SELL,0
2024-06-01,TISCO,Banking,ACF,-1.9418686420556728,-0.8565643307282342,SELL,0
2024-07-01,TISCO,Banking,ACF,-1.9350393530176522,-0.8555814145954279,SELL,0
2024-08-01,TISCO,Banking,ACF,-1.9266042357975042,-0.854358074644329,SELL,0
2024-09-01,TISCO,Banking,ACF,-1.9350393530176522,-0.8555814145954279,SELL,0
2024-10-01,TISCO,Banking,ACF,-1.9377922957910947,-0.8559784439461802,SELL,0
2024-11-01,TISCO,Banking,ACF,-1.9431858973881686,-0.8567531477410417,SELL,0
2024-12-01,TISCO,Banking,ACF,-1.9431858973881686,-0.8567531477410417,SELL,0
2025-01-01,TISCO,Banking,ACF,-1.9431858973881686,-0.8567531477410417,SELL,0
2025-02-01,TISCO,Banking,ACF,-1.9431858973881686,-0.8567531477410417,SELL,0
2025-03-01,TISCO,Banking,ACF,-1.9431858973881686,-0.8567531477410417,SELL,0
2025-04-01,TISCO,Banking,ACF,-1.9431858973881686,-0.8567531477410417,SELL,0
2025-05-01,TISCO,Banking,ACF,-1.9431858973881686,-0.8567531477410417,SELL,0
2025-06-01,TISCO,Banking,ACF,-1.9431858973881686,-0.8567531477410417,SELL,0
2025-07-01,TISCO,Banking,ACF,-1.9431858973881686,-0.8567531477410417,SELL,0
2025-08-01,TISCO,Banking,ACF,-1.9431858973881686,-0.8567531477410417,SELL,0
2025-09-01,TISCO,Banking,ACF,-1.9431858973881686,-0.8567531477410417,SELL,0
2025-10-01,TISCO,Banking,ACF,-1.9431858973881686,-0.8567531477410417,SELL,0
2025-11-01,TISCO,Banking,ACF,-1.9431858973881686,-0.8567531477410417,SELL,0
2025-12-01,TISCO,Banking,ACF,-1.9431858973881686,-0.8567531477410417,SELL,0
2026-01-01,TISCO,Banking,ACF,-1.9486071736893207,-0.8575276272757903,SELL,0
2026-02-01,TISCO,Banking,ACF,-2.00458678160084,-0.8652840486945073,SELL,0
