,Date,Actual,ECM,AR,RW,Stock,Sector,Model
0,2023-07-01,3.8524029514581177,3.8016533828288583,3.9250041567318776,3.926189232993177,KKP,Banking,AIC_A_FULL
1,2023-08-01,3.9303645840313663,3.652812053402318,3.85361364679526,3.8524029514581177,KKP,Banking,AIC_A_FULL
2,2023-09-01,3.8478883740702825,3.777720365067418,3.9251170893424434,3.9303645840313663,KKP,Banking,AIC_A_FULL
3,2023-10-01,3.7541615944673117,3.4596199357426105,3.85097071271454,3.8478883740702825,KKP,Banking,AIC_A_FULL
4,2023-11-01,3.723231343825346,3.398332540527425,3.75986640982755,3.7541615944673117,KKP,Banking,AIC_A_FULL
5,2023-12-01,3.774262800457207,3.58010704351042,3.728395757195217,3.723231343825346,KKP,Banking,AIC_A_FULL
6,2024-01-01,3.7439575008051937,3.629420214479719,3.7755932840524595,3.774262800457207,KKP,Banking,AIC_A_FULL
7,2024-02-01,3.7988340076300133,3.689825938734071,3.7483481734145685,3.7439575008051937,KKP,Banking,AIC_A_FULL
8,2024-03-01,3.822816004709781,3.7242175928226287,3.798799478050286,3.7988340076300133,KKP,Banking,AIC_A_FULL
9,2024-04-01,3.8084959316859477,3.7671675934127364,3.822660477486169,3.822816004709781,KKP,Banking,AIC_A_FULL
10,2024-05-01,3.827383829190083,3.495653604498506,3.8098634896130594,3.8084959316859477,KKP,Banking,AIC_A_FULL
11,2024-06-01,3.730120611261543,3.5788758598628485,3.8271476649260316,3.827383829190083,KKP,Banking,AIC_A_FULL
12,2024-07-01,3.54132646270958,3.6355568875146775,3.7369538815251704,3.730120611261543,KKP,Banking,AIC_A_FULL
13,2024-08-01,3.7193096275162714,3.5959223620941696,3.553378001671004,3.54132646270958,KKP,Banking,AIC_A_FULL
14,2024-09-01,3.822493812962194,3.7569908294679535,3.716525399126798,3.7193096275162714,KKP,Banking,AIC_A_FULL
15,2024-10-01,3.916418923080786,3.694404328178864,3.8202409376253703,3.822493812962194,KKP,Banking,AIC_A_FULL
16,2024-11-01,3.8302412936839154,3.711929799923657,3.9113110843604413,3.916418923080786,KKP,Banking,AIC_A_FULL
17,2024-12-01,3.879031410541557,3.5601431756640984,3.8307527068237586,3.8302412936839154,KKP,Banking,AIC_A_FULL
18,2026-01-01,4.276666119016055,3.987946818590409,3.8752031011254866,3.879031410541557,KKP,Banking,AIC_A_FULL
19,2026-02-01,4.255612709818223,3.2663379896044376,4.258670771870584,4.276666119016055,KKP,Banking,AIC_A_FULL
